Chunk,Version ,Issues_with_model,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3),Convex Hull Volume (cm^3)
2-6B (FE-POC87)-2,2,no, 2-6B (FE-POC87)-2_closed_200K,Mesh,2101.139632,383.0864439,8.49771884,-5.740213245,14.23793208,1080.654932,7275.38951,3532.485131
2-6C (FE-POC88),1,no, 2-6C (FE-POC88)_open_200K,Mesh,1160.010363,219.1164292,6.714447358,-5.843351026,12.55779838,0,3985.925125,1563.316853
2-6C (FE-POC88),1,no, 2-6C (FE-POC88)_closed_200K,Mesh,1238.791802,219.0899857,6.714447358,-5.813278105,12.52772546,693.3712261,3976.379958,1559.904226
2-6C (FE-POC88)-2,2,no, 2-6C (FE-POC88)-2_open_200K,Mesh,1120.564163,212.8840308,6.875342001,-5.216768439,12.09211044,0,3734.99402,1482.245559
2-6C (FE-POC88)-2,2,no, 2-6C (FE-POC88)-2_closed_200K,Mesh,1190.638977,212.8525124,6.871743897,-5.190868366,12.06261226,667.9439683,3726.578636,1479.199379
2-6D (FE-POC89),1,no, 2-6D (FE-POC89)_open_200K,Mesh,1624.718785,268.2426517,10.36424958,-5.30714011,15.67138969,0,5653.802483,2602.21941
2-6D (FE-POC89),1,no, 2-6D (FE-POC89)_closed_200K,Mesh,1695.346929,268.2484818,10.36827015,-5.248209421,15.61647957,1105.749837,5633.515766,2599.590449
2-6D (FE-POC89)-2,2,no, 2-6D (FE-POC89)-2_open_200K,Mesh,1594.702531,259.482662,10.39399956,-6.038149126,16.43214869,0,5721.784532,2538.230035
2-6D (FE-POC89)-2,2,no, 2-6D (FE-POC89)-2_closed_200K,Mesh,1662.894397,259.4643043,10.39399956,-6.038149126,16.43214869,1089.944593,5722.240307,2535.021043
2-6E (FE-POC90),1,no, 2-6E (FE-POC90)_open_200K,Mesh,1963.639146,344.9456106,12.35197323,-5.200971167,17.5529444,0,8361.094608,3839.549843
2-6E (FE-POC90),1,no, 2-6E (FE-POC90)_closed_200K,Mesh,2077.95426,344.8611715,12.35197323,-5.192792276,17.54476551,1097.68874,8357.390102,3834.992385
2-6E (FE-POC90)-2,2,no, 2-6E (FE-POC90)-2_open_200K,Mesh,1929.440599,335.3437311,12.46250511,-4.97730267,17.43980778,0,7987.049784,3695.202027
2-6E (FE-POC90)-2,2,no, 2-6E (FE-POC90)-2_closed_200K,Mesh,2040.493304,335.1965665,12.46250511,-4.965721087,17.4282262,1038.867731,7981.594663,3692.514872
2-6F (FE-POC91),1,no, 2-6F (FE-POC91)_open_200K,Mesh,1306.87953,228.1459601,12.88141509,-4.785532057,17.66694714,0,5627.90626,2446.798535
2-6F (FE-POC91),1,no, 2-6F (FE-POC91)_closed_200K,Mesh,1377.444122,228.1509642,12.88788749,-4.785532057,17.67341954,801.1261537,5629.968236,2445.329623
2-6F (FE-POC91)-2,2,no, 2-6F (FE-POC91)-2_open_200K,Mesh,1287.517611,226.3265933,10.40001279,-7.062345061,17.46235785,0,5417.650575,2381.423417
2-6F (FE-POC91)-2,2,no, 2-6F (FE-POC91)-2_closed_200K,Mesh,1352.409887,226.3380581,10.39856384,-7.019559739,17.41812357,782.1924464,5403.927007,2379.929385
2-7 (FE-POC92),1,no, 2-7 (FE-POC92)_open_200K,Mesh,1964.029269,375.2755359,12.47371732,-4.365287105,16.83900443,0,9364.848085,3717.963187
2-7 (FE-POC92),1,no, 2-7 (FE-POC92)_closed_200K,Mesh,2061.244183,375.2921671,12.47371732,-4.343409372,16.81712669,1422.573545,9352.680711,3712.614217
2-8 (FE-POC93),1,no, 2-8 (FE-POC93)_open_200K,Mesh,1941.95902,344.890536,11.38756308,-5.837321806,17.22488489,0,7843.129107,3529.353151
2-8 (FE-POC93),1,no, 2-8 (FE-POC93)_closed_200K,Mesh,2076.24896,344.8976333,11.38756308,-5.837321806,17.22488489,1318.195148,7844.58456,3527.79111
2-9A (FE-POC94),1,no, 2-9A (FE-POC94)_open_200K,Mesh,1623.738994,319.0998393,9.296865431,-5.067731595,14.36459703,0,5960.636576,2614.639182
2-9A (FE-POC94),1,no, 2-9A (FE-POC94)_closed_200K,Mesh,1694.422178,319.0932736,9.294428222,-5.060208043,14.35463627,1066.778871,5956.597149,2611.309819
2-9B (FE-POC95),1,no, 2-9B (FE-POC95)_open_200K,Mesh,1582.049608,268.9406715,9.96624768,-6.445156352,16.41140403,0,6487.763639,2674.006726
2-9B (FE-POC95),1,no, 2-9B (FE-POC95)_closed_200K,Mesh,1708.305525,268.940101,9.96624768,-6.445156352,16.41140403,1176.101449,6485.915889,2672.979437
2-9C (FE-POC96),1,no, 2-9C (FE-POC96)_open_200K,Mesh,1657.973185,320.5970967,9.579581978,-5.882254913,15.46183689,0,6578.117966,3216.175322
2-9C (FE-POC96),1,no, 2-9C (FE-POC96)_closed_200K,Mesh,1800.197539,320.6119806,9.579581978,-5.879672895,15.45925487,1535.030272,6575.232726,3212.560247
3-1 (FE-POC97),1,no, 3-1 (FE-POC97)_open_200K,Mesh,1500.948933,326.2439386,10.60025979,-5.640913886,16.24117368,0,8083.458107,3056.346675
3-1 (FE-POC97),1,no, 3-1 (FE-POC97)_closed_200K,Mesh,1617.390602,326.2533233,10.60025979,-5.640913886,16.24117368,1190.587984,8082.213065,3053.988632
3-2 (FE-POC98),1,no, 3-2 (FE-POC98)_open_200K,Mesh,1052.653025,237.5398173,5.872030055,-6.097742798,11.96977285,0,3634.970927,1714.499039
3-2 (FE-POC98),1,no, 3-2 (FE-POC98)_closed_200K,Mesh,1143.785369,237.5421268,5.872030055,-6.097742798,11.96977285,665.312264,3635.344544,1714.296738
3-3 (FE-POC99),1,no, 3-3 (FE-POC99)_open_200K,Mesh,1710.755837,340.0038004,10.4829704,-5.595523771,16.07849417,0,6799.599816,3296.479606
3-3 (FE-POC99),1,no, 3-3 (FE-POC99)_closed_200K,Mesh,1820.969456,340.0089487,10.48307405,-5.587883142,16.07095719,1700.42742,6796.412424,3295.421054
3-4 (FE-POC100),1,no, 3-4 (FE-POC100)_open_200K,Mesh,1401.966393,341.6985476,11.57715496,-4.768362831,16.34551779,0,7113.984288,2922.906056
3-4 (FE-POC100),1,no, 3-4 (FE-POC100)_closed_200K,Mesh,1465.398234,341.6916099,11.57715496,-4.75690141,16.33405637,850.8472047,7108.995987,2920.086742
3-5A (FE-POC101),1,no, 3-5A (FE-POC101)_open_200K,Mesh,1509.264757,294.7440309,13.06414643,-4.704740493,17.76888692,0,7748.566797,3248.486004
3-5A (FE-POC101),1,no, 3-5A (FE-POC101)_closed_200K,Mesh,1622.023931,294.7331859,13.06414643,-4.704740493,17.76888692,1095.789775,7748.865986,3239.483765
3-5B (FE-POC102),1,no, 3-5B (FE-POC102)_open_200K,Mesh,1671.31625,336.0101567,13.2367469,-5.261522758,18.49826966,0,8457.148852,3799.792766
3-5B (FE-POC102),1,no, 3-5B (FE-POC102)_closed_200K,Mesh,1818.120004,336.0124555,13.2367469,-5.261522758,18.49826966,1262.185253,8457.148852,3798.17801
3-5C (FE-POC103),1,no, 3-5C (FE-POC103)_open_200K,Mesh,1717.85086,286.2192771,14.54399739,-5.631256668,20.17525406,0,7466.268663,3465.525503
3-5C (FE-POC103),1,no, 3-5C (FE-POC103)_closed_200K,Mesh,1825.776133,286.2228729,14.54399739,-5.631256668,20.17525406,1398.930857,7467.319154,3463.929394
3-5D (FE-POC104),1,no, 3-5D (FE-POC104)_open_200K,Mesh,1449.909721,318.3615306,8.812238653,-6.555560305,15.36779896,0,7016.6675,2954.948778
3-5D (FE-POC104),1,no, 3-5D (FE-POC104)_closed_200K,Mesh,1518.927049,318.354569,8.812238653,-6.513544951,15.3257836,1154.949708,6997.484027,2952.034069
3-5E (FE-POC105),1,no, 3-5E (FE-POC105)_open_200K,Mesh,1756.701285,277.1340803,11.03363705,-7.044943042,18.07858009,0,6478.584414,3259.715403
3-5E (FE-POC105),1,no, 3-5E (FE-POC105)_closed_200K,Mesh,1899.016322,277.144197,11.03363705,-7.044943042,18.07858009,1225.284912,6476.835877,3257.401043
3-5F (FE-POC106),1,no, 3-5F (FE-POC106)_open_200K,Mesh,1283.13759,259.9520299,7.01044943,-6.13983175,13.15028118,0,4911.163158,2182.408908
3-5F (FE-POC106),1,no, 3-5F (FE-POC106)_closed_200K,Mesh,1402.220294,259.9050703,7.01044943,-6.121962553,13.13241198,1047.603326,4903.080112,2179.954369
3-6 (FE-POC107),1,no, 3-6 (FE-POC107)_open_200K,Mesh,1005.447846,219.5569292,7.324007818,-5.459012642,12.78302046,0,4002.719274,1636.335389
3-6 (FE-POC107),1,no, 3-6 (FE-POC107)_closed_200K,Mesh,1094.973204,219.5041193,7.324007818,-5.459012642,12.78302046,724.9498581,4002.719274,1636.208469
3-7 (FE-POC108),1,no, 3-7 (FE-POC108)_open_200K,Mesh,1536.88274,320.2258997,7.933763002,-7.924150584,15.85791359,0,6999.955106,2916.653239
3-7 (FE-POC108),1,no, 3-7 (FE-POC108)_closed_200K,Mesh,1631.451281,320.2330372,7.933763002,-7.924150584,15.85791359,929.8246709,7000.459385,2915.521392
3-8A (FE-POC109),1,no, 3-8A (FE-POC109)_open_200K,Mesh,1846.718396,356.7151772,10.68890333,-5.395424228,16.08432756,0,8068.066749,3632.156726
3-8A (FE-POC109),1,no, 3-8A (FE-POC109)_closed_200K,Mesh,1966.090299,356.6865694,10.68890333,-5.395424232,16.08432756,1096.575743,8068.066565,3630.120071
3-8B (FE-POC110),1,no, 3-8B (FE-POC110)_open_200K,Mesh,1263.133025,249.8936139,7.252670725,-7.2875254,14.54019612,0,4950.923994,2205.980409
3-8B (FE-POC110),1,no, 3-8B (FE-POC110)_closed_200K,Mesh,1383.570221,249.9103274,7.252670725,-7.2875254,14.54019612,788.4831865,4950.923994,2202.823509
3-8C (FE-POC111),1,no, 3-8C (FE-POC111)_open_200K,Mesh,1663.10724,293.1639917,9.363360292,-6.432654102,15.79601439,0,6586.702065,3056.293458
3-8C (FE-POC111),1,no, 3-8C (FE-POC111)_closed_200K,Mesh,1777.505292,293.0902617,9.363360292,-6.423350267,15.78671056,1116.412747,6581.818458,3053.773166
3-9A (FE-POC112)_issues_with_model,1,yes, 3-9A (FE-POC112)_open_200K,Mesh,1908.535202,281.0362569,12.68239049,-5.817277581,18.49966807,0,7165.265239,3338.946726
3-9A (FE-POC112)_issues_with_model,1,yes, 3-9A (FE-POC112)_closed_200K,Mesh,2059.759597,280.9802883,12.68239049,-5.782982621,18.46537311,904.0652838,7152.74648,3335.381578
3-9B (FE-POC113),2,no, 3-9B (FE-POC113)_open_200K,Mesh,1320.982883,230.4695641,10.53594216,-4.541673077,15.07761524,0,4649.045359,2231.086342
3-9B (FE-POC113),2,no, 3-9B (FE-POC113)_closed_200K,Mesh,1405.240683,230.4421673,10.53594216,-4.536444178,15.07238634,836.2027487,4648.571156,2229.393577
3-9C (FE-POC114),2,no, 3-9C (FE-POC114)_open_200K,Mesh,1010.385792,206.270931,6.198183423,-6.49288441,12.69106783,0,3492.600297,1535.420743
3-9C (FE-POC114),2,no, 3-9C (FE-POC114)_closed_200K,Mesh,1068.175916,206.2700583,6.198183423,-6.460037568,12.65822099,621.6237065,3483.560799,1534.660283
