coral_id,position,treatment
FE-POC92,2-7A,1
FE-POC93,2-8A,1
FE-POC108,3-7A,1
FE-POC112,3-9A,3
FE-POC113,3-9B,3
FE-POC114,3-9C,3
FE-POC76,1-7A,1
FE-POC77,1-8A,1
FE-POC78,1-9A,1
FE-POC94,2-9A,3
FE-POC95,2-9B,3
FE-POC96,2-9C,3
FE-POC86,2-6A,6
FE-POC87,2-6B,6
FE-POC88,2-6C,6
FE-POC89,2-6D,6
FE-POC90,2-6E,6
FE-POC91,2-6F,6
FE-POC72,1-5A,1
FE-POC85,2-5A,1
FE-POC107,3-6A,1
FE-POC109,3-8A,3
FE-POC110,3-8B,3
FE-POC111,3-8C,3
FE-POC73,1-6A,3
FE-POC74,1-6B,3
FE-POC75,1-6C,3
FE-POC98,3-2A,1
FE-POC99,3-3A,1
FE-POC100,3-4A,1
FE-POC101,3-5A,6
FE-POC102,3-5B,6
FE-POC103,3-5C,6
FE-POC104,3-5D,6
FE-POC105,3-5E,6
FE-POC106,3-5F,6
FE-POC68,1-3A,1
FE-POC80,2-2A,1
FE-POC81,2-3A,1
FE-POC82,2-4A,3
FE-POC83,2-4B,3
FE-POC84,2-4C,3
FE-POC61,1-1A,1
FE-POC69,1-4A,3
FE-POC70,1-4B,3
FE-POC71,1-4C,3
FE-POC79,2-1A,1
FE-POC97,3-1A,1
FE-POC62,1-2A,6
FE-POC63,1-2B,6
FE-POC64,1-2C,6
FE-POC65,1-2D,6
FE-POC66,1-2E,6
FE-POC67,1-2F,6
