unnamed: 0,master_sort,old_sort,coral_id,site,code,type,search_term,lowest_level,cafi_size_mm,measurement,alt_size_mm,alt_measurement,extraction_method,photo_num,id_certainty,general_notes,identification_notes,revised_yn,revision_date,identified_by,revised_by,previous_name,worms_id,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species,coral_id_numeric,site_numeric,code_numeric,type_numeric,search_term_numeric,lowest_level_numeric,cafi_size_mm_numeric,measurement_numeric,alt_size_mm_numeric,alt_measurement_numeric,extraction_method_numeric,photo_num_numeric,id_certainty_numeric,general_notes_numeric,identification_notes_numeric,revised_yn_numeric,revision_date_numeric,identified_by_numeric,revised_by_numeric,previous_name_numeric,phylum_numeric,subphylum_numeric,superclass_numeric,class_numeric,subclass_numeric,superorder_numeric,order_numeric,suborder_numeric,infraorder_numeric,superfamily_numeric,family_numeric,subfamily_numeric,genus_numeric,species_numeric
1584,3290.0,3278.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,3.8,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,3291.0,3279.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,6,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,3292.0,3280.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,20.2,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,3293.0,3281.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,21.4,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,3294.0,3282.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,20.7,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,3295.0,3283.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,14,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,3296.0,3284.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,6.1,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,3297.0,3285.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,11.9,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,3298.0,3286.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,5.4,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,3299.0,3287.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,18.5,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,3300.0,3288.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,15.5,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,3301.0,3289.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,13.2,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,3302.0,3290.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,13.6,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,3303.0,3291.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,17.9,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
