,coral_id,position,year,chunk,model,model_type,surface_area_cm2,area_cm2,max_height_cm,min_height_cm,height_range_cm,volume_cm3,extent_volume_cm3
64,FE-POC70,1-4B,2021,(FE-POC70),1-4B (FE-POC70)_closed,Mesh,2447.982537,435.4438389,11.88489102,-8.100554874,19.98544589,2898.661343,11635.54708
65,FE-POC71,1-4C,2021,(FE-POC71),1-4C (FE-POC71)_closed,Mesh,2311.67053,413.7543846,13.72949668,-6.984695181,20.71419186,2630.090651,11184.60688
66,FE-POC72,1-5A,2021,(FE-POC72),1-5A (FE-POC72)_closed,Mesh,2015.36529,360.8510449,15.04122593,-4.583527775,19.62475371,1835.531217,9777.441873
67,FE-POC73,1-6A,2021,(FE-POC73),1-6A (FE-POC73)_closed,Mesh,2097.804872,430.8970148,10.95463103,-6.46808695,17.42271798,1922.805509,10132.59594
68,FE-POC74,1-6B,2021,(FE-POC74),1-6B (FE-POC74)_closed,Mesh,2129.475183,393.0476996,7.60071262,-12.86626782,20.46698044,2507.179647,10090.31128
69,FE-POC75,1-6C,2021,(FE-POC75),1-6C (FE-POC75)_closed,Mesh,2816.051252,503.5691226,13.95216286,-5.984413199,19.93657606,2773.017747,12499.25691
70,FE-POC76,1-7A,2021,(FE-POC76),1-7A (FE-POC76)_closed,Mesh,2174.812238,565.69617,6.454153904,-13.88701579,20.3411697,4310.449142,16119.99132
71,FE-POC77,1-8A,2021,(FE-POC77),1-8A (FE-POC77)_closed,Mesh,3150.380074,622.0382438,13.48865101,-9.62570671,23.11435772,5827.472609,20789.66437
72,FE-POC78,1-9A,2021,(FE-POC78),1-9A (FE-POC78)_closed,Mesh,3854.356736,780.4819267,17.98467403,-4.271203158,22.25587719,4531.111676,21764.43113
73,FE-POC79,2-1A,2021,(FE-POC79),2-1A (FE-POC79)_closed,Mesh,2214.673752,380.3422995,16.73585783,-3.753309619,20.48916745,1926.519948,10798.2985
74,FE-POC80,2-2A,2021,(FE-POC80),2-2A (FE-POC80)_closed,Mesh,2069.474776,446.0294501,12.48468417,-5.141233433,17.62591761,2715.013218,9934.097185
75,FE-POC81,2-3A,2021,(FE-POC81),2-3A (FE-POC81)_closed,Mesh,1362.540552,275.0826544,12.74520939,-2.474981612,15.220191,1190.960663,5499.870619
76,FE-POC82,2-4A,2021,(FE-POC82),2-4A (FE-POC82)_closed,Mesh,1920.890829,416.2529786,10.63811373,-5.27856232,15.91667605,1992.197104,9355.719966
77,FE-POC83,2-4B,2021,(FE-POC83),2-4B (FE-POC83)_closed,Mesh,1664.88816,322.2914772,10.48199327,-7.860038754,18.34203203,2490.340459,7715.790855
78,FE-POC84,2-4C,2021,(FE-POC84),2-4C (FE-POC84)_closed,Mesh,2151.822149,462.1525484,12.5389547,-5.632062332,18.17101704,2053.687042,10515.0696
79,FE-POC85,2-5A,2021,(FE-POC85),2-5A (FE-POC85)_closed,Mesh,1239.572309,249.5745506,12.25896935,-2.986571343,15.24554069,1303.990463,4818.358486
80,FE-POC86,2-6A,2021,(FE-POC86),2-6A (FE-POC86)_closed,Mesh,2718.93174,508.3296743,13.34539658,-4.441082577,17.78647916,2823.356262,12290.24673
81,FE-POC87,2-6B,2021,(FE-POC87),2-6B (FE-POC87)_closed,Mesh,2571.451243,533.4568657,11.83771153,-5.901993872,17.7397054,2315.212546,13058.57533
82,FE-POC88,2-6C,2021,(FE-POC88),2-6C (FE-POC88)_closed,Mesh,1621.916849,384.8491136,8.846993336,-5.505649626,14.35264296,1946.294301,7251.983511
83,FE-POC89,2-6D,2021,(FE-POC89),2-6D (FE-POC89)_closed,Mesh,2305.272604,430.4148469,14.30904152,-3.879989785,18.1890313,2750.820314,9794.246584
