coral_id,date,site,survey_type,lat,long,field_obs,morphotype,branch_width,depth,length_field,width_field,height_field,circ_field,volume_field,h_substrate,length_lab,width_lab,height_lab,circ_lab,volume_lab,cafi_known,cafi_method,cafi_unk_date,notes,number_of_neighbors,mean_neighbor_distance,mean_total_volume_of_neighbors,combined_total_volume_of_neighbors,mean_live_volume_of_neighbors,combined_live_volume_of_neighbors,number_of_wide_branching_neighbors,mean_total_volume_of_wide_branching_neighbors,mean_live_volume_of_wide_branching_neighbors,number_of_tight_branching_neighbors,mean_total_volume_of_tight_branching_neighbors,mean_live_volume_of_tight_branching_neighbors,number_of_unknown_branching_neighbors,mean_total_volume_of_unknown_branching_neighbors,mean_live_volume_of_unknown_branching_neighbors,combined_total_volume_of_wide_branching_neighbors,combined_live_volume_of_wide_branching_neighbors,combined_total_volume_of_tight_branching_neighbors,combined_live_volume_of_tight_branching_neighbors,combined_total_volume_of_unknown_branching_neighbors,combined_live_volume_of_unknown_branching_neighbors,nub1_nubbin_length,nub1_stump_length,nub1_use,nub2_nubbin_length,nub2_stump_length,nub2_use
MRB-POC01,6/25/2019,MRB1,neighborhood,-17.47428,-149.81492,CO,meandrina,tight,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6/25/2019,clove,6/25/2019,"slurry not retained - proper materials not available at time of sampling, DNA samp exposed to clove oil; formerly PMEA1; field volume not recorded",22,137.2272727,22.3243478,491.1356515,22.31006783,490.8214923,0,0,0,10,38.43215013,38.40073421,12,8.901179185,8.901179185,0,0,384.3215013,384.0073421,106.8141502,106.8141502,NA,NA,NA,NA,NA,NA
MRB-POC02,6/25/2019,MRB1,neighborhood,-17.47428,-149.81492,AS,eudoxi,wide,6,26,20,13,65,3539.527723,0,NA,NA,NA,NA,NA,6/25/2019,clove,6/25/2019,two nubbins frozen on 6/25; formerly PEUD1,21,88.85714286,985.2383627,20690.00562,976.4306834,20505.04435,2,2312.997591,2254.092729,16,784.9400145,780.743043,3,1168.323401,1168.323401,4625.995182,4508.185458,12559.04023,12491.88869,3504.970204,3504.970204,NA,NA,NA,NA,NA,NA
MRB-POC03,6/26/2019,MRB2,neighborhood,-17.4745,-149.81611,AP,eudoxi,wide,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6/26/2019,clove_and_smash,6/26/2019,field measurements not recorded,53,113.3773585,113.6703304,6024.527512,92.82121993,4919.524656,3,509.9852075,506.3200161,27,70.16223593,70.1506004,23,113.0518052,65.49993031,1529.955623,1518.960048,1894.38037,1894.066211,2600.19152,1506.498397,NA,NA,NA,NA,NA,NA
MRB-POC04,6/26/2019,MRB2,neighborhood,-17.4745,-149.81611,JC,meandrina,tight,5,17,15,11,30,1468.694566,0,NA,NA,NA,NA,NA,6/26/2019,clove_and_smash,6/26/2019,,66,128.1363636,642.011432,42372.75451,387.0077217,25542.50963,7,2045.924816,1241.078698,10,2184.087573,1489.041614,49,126.7429608,40.09270624,14321.47371,8687.550884,21840.87573,14890.41614,6210.405077,1964.542606,NA,NA,NA,NA,NA,NA
MRB-POC05,6/26/2019,MRB3,neighborhood,-17.47475,-149.81746,AP,eudoxi,wide,6,36,22,27,83,11196.63622,0,NA,NA,NA,NA,NA,6/26/2019,clove_and_smash,6/26/2019,,24,121.7916667,257.7414973,6185.795935,95.65495131,2295.718831,1,3845.309408,192.2654704,11,192.0655509,174.2441525,12,18.98045562,15.5639736,3845.309408,192.2654704,2112.72106,1916.685678,227.7654674,186.7676833,NA,NA,NA,NA,NA,NA
MRB-POC06,6/26/2019,MRB3,neighborhood,-17.47475,-149.81746,JC,meandrina,tight,6,17,14,11,30,1370.781595,0,NA,NA,NA,NA,NA,6/26/2019,clove_and_smash,6/26/2019,,38,140.1842105,605.045943,22991.74584,231.0923864,8781.510685,6,2846.544744,670.8129346,3,495.3244417,271.4859652,29,152.6380706,135.9370752,17079.26846,4024.877608,1485.973325,814.4578955,4426.504049,3942.175181,NA,NA,NA,NA,NA,NA
MRB-POC07,6/27/2019,MRB4,neighborhood,-17.47496,-149.81852,JC,meandrina,tight,7,25,21,18,69,4948.008429,15,NA,NA,NA,NA,NA,6/27/2019,clove_and_smash,6/29/2019,"brittle star, cowry, 3 worms in base after removal",28,131,327.8850333,9180.780932,180.9407769,5066.341753,4,2113.768257,1085.420262,0,0,0,24,30.23782929,30.19419606,8455.073029,4341.681048,0,0,725.707903,724.6607054,NA,NA,NA,NA,NA,NA
MRB-POC08,6/27/2019,MRB4,neighborhood,-17.47496,-149.81852,AP,eudoxi,wide,7,24,22,18,73,4976.282763,0,NA,NA,NA,NA,NA,6/27/2019,clove_and_smash,6/29/2019,,36,153,76.27088832,2745.75198,72.51479433,2610.532596,6,97.73843811,86.91739675,30,71.97737837,69.63427385,0,0,0,586.4306287,521.5043805,2159.321351,2089.028215,0,0,NA,NA,NA,NA,NA,NA
MRB-POC09,6/28/2019,MRB5,neighborhood,-17.47556,-149.81905,JC,hybrid,tight,5,31,24,15,81,5843.362336,0,NA,NA,NA,NA,NA,6/28/2019,clove_and_smash,6/29/2019,,14,143.7142857,64.62704888,904.7786843,55.69594976,779.7432967,1,197.9203372,197.9203372,2,272.5331627,211.272106,11,14.7083656,14.47988614,197.9203372,197.9203372,545.0663254,422.5442119,161.7920216,159.2787475,NA,NA,NA,NA,NA,NA
MRB-POC10,6/28/2019,MRB5,neighborhood,-17.47556,-149.81905,AP,eudoxi,wide,6,22,25,19,76,5471.607205,0,NA,NA,NA,NA,NA,6/28/2019,clove_and_smash,6/29/2019,,17,154.1176471,685.7603964,11657.92674,80.32005218,1365.440887,2,4850.619057,0,5,94.87609814,36.72521812,10,148.2308134,118.1814796,9701.238114,0,474.3804907,183.6260906,1482.308134,1181.814796,NA,NA,NA,NA,NA,NA
