Unnamed: 0,X,coral_id,slurry_date,nub,slurry_volume,slurry_notes,coral_num,dry_weight,dip_weight,wax_weight,surface_area,protein_analysis_date,protein_absorbance,protein_absorbance_se,protein_mg_ml,protein_se,carb_analysis_date,carb_absorbance,carb_absorbance_se,carb_mg_ml,carb_se,avg_num_Zoox_cells,num_Zoox_cells_se,haplotype,dna_collection_date,branch_width,burned_pan,burned_pan_se,burned_pan_dry_res,burned_pan_dry_res_se,dry_tissue,dry_tissue_se,burned_pan_burned_res,burned_pan_burned_res_se,afdw_g_ml,afdw_se,Year,protein_mg_cm2,carb_mg_cm2,zooxDensity,zoox_cells_cm2,afdw_mg_cm2,protein_mg_cm2_se,carb_mg_cm2_se,zooxDensity_se,zoox_cells_cm2_se,afdw_mg_cm2_se,coral_id_numeric,slurry_date_numeric,slurry_notes_numeric,protein_analysis_date_numeric,carb_analysis_date_numeric,haplotype_numeric,dna_collection_date_numeric,branch_width_numeric
94,94,FE-POC35,6/22/2021,2,13.0,,35,6.2679,6.6938,0.4259,1708.95965,10/10/2022,0.388,0.00057735,0.849,0.001154701,10/10/2022,0.363,0.008736895,0.104333333,0.002403701,51.41666667,2.748162839,1a_Pm,8/28/2019,tight,0.7754,0.0019,0.82505,0.00175,0.04965,0.00015,0.81195,0.00185,0.0131,0.0001,2021,0.006458315150975,0.0007936602417734,514166.6667,3911.24896781501,0.099651270291841,8.78377263032512e-06,1.82848746604403e-05,27481.62839,209.051845706246,0.000760696719785,,,,,,,,
95,95,FE-POC36,6/20/2021,2,39.0,"somewhat clumpy, homogenized",36,8.7457,9.4999,0.7542,2980.6297,10/10/2022,0.308,0.001732051,0.663,0.003464102,10/10/2022,0.234,0.007505553,0.068333333,0.002333333,39.22222222,1.307483627,1a_Pm,12/16/2019,tight,0.7886,,0.8355,,0.0469,,0.8239,,0.0116,,2021,0.0086750125317479,0.0008941063651751,392222.2222,5132.02517769987,0.151780008096947,4.53259853110905e-05,3.05304570373166e-05,13074.83627,171.077478873005,,,,,,,,,
96,96,FE-POC37,6/20/2021,2,25.0,,37,11.804,12.6104,0.8064,3182.8264,10/10/2022,0.398333333,0.002728451,0.872666667,0.005897269,3/3/2023,0.551666667,0.001763834,0.545666667,0.001763834,154.5,4.185291706,1a,12/16/2019,wide,0.76685,0.00765,0.81565,0.00765,0.0488,0.0,0.80245,0.00795,0.0132,0.0003,2021,0.0068544946953437,0.0042860228490627,1545000.0,12135.4403746305,0.103681432326941,4.63210073285807e-05,1.3854305720224e-05,41852.91706,328.740180897079,0.0023563961892486,,,,,,,,
97,97,FE-POC38,6/20/2021,3,37.0,"slightly clumpy, homogenized",38,16.633,17.7692,1.1362,4460.3067,10/10/2022,0.371,0.001527525,0.808666667,0.004255715,10/10/2022,0.318333333,0.003333333,0.091666667,0.000666667,43.05555556,2.042797362,Did not amplify,12/16/2019,tight,0.77925,0.00205,0.8268,0.0004,0.04755,0.00165,0.8147,0.002,0.0121,0.0016,2021,0.0067082083568378,0.000760411089892,430555.5556,3571.6278338438,0.100374263500759,3.53028313053001e-05,5.53026521696367e-06,20427.97362,169.458083216564,0.0132726298843979,,,,,,,,
98,98,FE-POC39,6/20/2021,2,12.0,,39,3.8618,4.0181,0.1563,664.66405,10/10/2022,0.246333333,0.001666667,0.520333333,0.003666667,10/10/2022,0.203333333,0.002185813,0.06,0.00057735,42.11111111,1.328148962,8a,12/16/2019,tight,0.7808,0.0057,0.82785,0.00535,0.04705,0.00035,0.81755,0.00555,0.0103,0.0002,2021,0.0093942195248862,0.0010832540138134,421111.1111,7602.83835600857,0.185958605704641,6.61988624177884e-05,1.04236117479199e-05,13281.48962,239.787115671443,0.0036108467127114,,,,,,,,
99,99,FE-POC40,6/20/2021,1,19.0,,40,3.9369,4.1692,0.2323,959.05005,10/10/2022,0.183,0.001,0.373,0.002081666,10/10/2022,0.147666667,0.001452966,0.044333333,0.000333333,23.53333333,0.709108771,1a,12/16/2019,tight,0.7863,0.0025,0.83525,0.00255,0.04895,5.00000000000014e-05,0.82265,0.00265,0.0126,9.99999999999994e-05,2021,0.0073896039106613,0.0008782996539127,235333.3333,4662.25233260767,0.249622008778374,4.12404482956859e-05,6.60375024223188e-06,7091.08771,140.483457031257,0.0019811270537966,,,,,,,,
100,100,FE-POC41,6/20/2021,2,25.5,,41,8.7121,9.1704,0.4583,1834.46105,10/10/2022,0.264666667,0.003382964,0.561666667,0.00788106,10/10/2022,0.326666667,0.002603417,0.094,0.00057735,75.33333333,3.317386095,1a_Pe,12/16/2019,wide,0.789,0.001,0.838,0.0008,0.049,0.0002,0.82495,0.00105,0.01305,0.00025,2021,0.0078074702150258,0.0013066508007896,753333.3333,10471.7404597661,0.181402052662824,0.0001095509931922,8.02547701953116e-06,33173.86095,461.134595485143,0.0034751351084832,,,,,,,,
101,101,FE-POC42,6/20/2021,3,26.5,"broad tip, pale end",42,17.8837,18.787,0.9033,3558.16855,10/10/2022,0.191333333,0.003844188,0.391666667,0.009207485,10/10/2022,0.193,0.002516611,0.056666667,0.000666667,76.5,2.650042881,1a_Pe,8/28/2019,wide,0.7876,0.0065,0.8363,0.0071,0.0487,0.0006,0.824,0.0067,0.0123,0.0004,2021,0.0029169969127797,0.0004220335980149,765000.0,5697.45353968687,0.0916061157361419,6.85741411828284e-05,4.96510360646069e-06,26500.42881,197.365963302947,0.002979060674346,,,,,,,,
102,102,FE-POC43,5/22/2021,2,20.0,small clumps,43,7.6922,8.0522,0.36,1453.696,10/10/2022,0.330666667,0.01172367,0.715333333,0.026958816,10/10/2022,0.387,0.002645751,0.110666667,0.000881917,71.875,2.865532616,Did not amplify,8/28/2019,wide,0.7712,9.9999999999989e-05,0.8197,0.0004,0.0485,0.0003,0.80625,0.00025,0.01345,0.00015,2021,0.0098415808119441,0.0015225558438628,718750.0,9888.58743506208,0.185045566610901,0.0003709003257902,1.21334446816941e-05,28655.32616,394.240971427314,0.002063705203839,,,,,,,,
103,103,FE-POC44,6/20/2021,1,16.0,,44,10.1601,10.6499,0.4898,1956.4763,10/10/2022,0.344333333,0.001452966,0.746333333,0.003179797,10/10/2022,0.432666667,0.003711843,0.123666667,0.00120185,76.75,3.812111878,1a_Pm,8/28/2019,wide,0.77135,0.00165,0.8185,0.0024,0.04715,0.00075,0.80575,0.00225,0.01275,0.00015,2021,0.0061034898955842,0.0010113420091007,767500.0,6276.59021476519,0.104269088258314,2.60042771793351e-05,9.82869048809843e-06,38121.11878,311.753278319804,0.0012266951559801,,,,,,,,
