coral_id,sampling_date,metashape_chunk,metashape_model,model_type,surface_area_cm2,projected_area_cm2,max_height_cm,min_height_cm,height_range_cm,volume_cm3,extent_volume_cm3
FE-POC01,2019-12-01,1-6 (FE-POC01),1-6 (FE-POC01)_closed,Mesh,9872.90356,1679.146827,30.60746058,-9.111323508,39.71878409,10159.60507,98297.92098
FE-POC01,2021-05-01,1-6 (FE-POC01),1-6 (FE-POC01)_closed,Mesh,11295.81476,1824.924159,32.15818723,-9.706157386,41.86434462,15165.99746,109950.9678
FE-POC02,2019-12-01,3-3 (FE-POC02),3-3 (FE-POC02)_closec,Mesh,194.3188062,48.24591536,2.024535169,-6.717141748,8.741676917,155.6784202,613.3315858
FE-POC02,2021-05-01,3-3 (FE-POC02),3-3 (FE-POC02)_closed,Mesh,658.8727495,148.061141,5.961866621,-6.536544823,12.49841144,536.7268501,2549.920093
FE-POC03,2019-12-01,4-11 (FE-POC03),4-11 (FE-POC03)_closed,Mesh,595.1038089,127.7773351,7.437571982,-3.933740401,11.37131238,622.9884277,1994.03753
FE-POC03,2021-05-01,4-11 (FE-POC03),4-11 (FE-POC03)_closed,Mesh,1250.32525,252.2075931,11.16771655,-4.031848292,15.19956484,1644.064752,5036.419615
FE-POC04,2019-12-01,1-2 (FE-POC04),1-2 (FE-POC04)_closed,Mesh,2665.978381,479.0544821,16.33870386,-4.768087368,21.10679122,2490.942503,13502.84791
FE-POC04,2021-05-01,1-2 (FE-POC04),1-2 (FE-POC04)_closed,Mesh,4820.036996,739.8178897,20.87362262,-3.39173647,24.26535909,5790.364269,24097.8284
FE-POC05,2019-12-01,2-1 (FE-POC05),2-1 (FE-POC05)_closed,Mesh,204.1189515,71.70451531,-1.096757257,-7.601838617,6.50508136,206.2884949,544.0618921
FE-POC05,2021-05-01,2-1 (FE-POC05),2-1 (FE-POC05)_closed,Mesh,378.3082509,103.5924374,0.820992912,-6.742561999,7.563554911,350.3800359,943.9025642
FE-POC06,2019-12-01,4-4 (FE-POC06),4-4 (FE-POC06)_closed,Mesh,3397.533971,762.1209165,14.5395966,-8.178956354,22.71855296,7901.667142,23568.43987
FE-POC06,2021-05-01,4-4 (FE-POC06),4-4 (FE-POC06)_closed,Mesh,3972.813235,916.5147973,15.87871591,-8.297734363,24.17645027,10630.27341,30226.27017
FE-POC07,2019-12-01,2-9 (FE-POC07),2-9 (FE-POC07)_closed,Mesh,8918.099129,1623.069294,26.74139819,-4.843518174,31.58491636,13686.80813,66821.96336
FE-POC07,2021-05-01,2-9 (FE-POC07),2-9 (FE-POC07)_closed,Mesh,11253.63142,1965.662399,29.89337655,-8.253752963,38.14712951,21591.65801,99789.20203
FE-POC08,2019-12-01,3-6 (FE-POC08),3-6 (FE-POC08)_closed,Mesh,3571.876023,757.6993132,12.94694537,-8.187884992,21.13483036,7647.147792,19825.18097
FE-POC08,2021-05-01,3-6 (FE-POC08),3-6 (FE-POC08)_closed,Mesh,4698.286227,921.4074864,15.12662142,-8.50719522,23.63381664,10974.64664,26781.14461
FE-POC09,2019-12-01,1-7 (FE-POC09),1-7 (FE-POC09)_closed,Mesh,2055.139247,512.5674686,7.960169789,-8.476002729,16.43617252,4306.595189,11219.67071
FE-POC09,2021-05-01,1-7 (FE-POC09),1-7 (FE-POC09)_closed,Mesh,2615.411396,585.006466,9.394770983,-7.475093122,16.8698641,4687.379413,13059.41821
FE-POC10,2019-12-01,3-9 (FE-POC10),3-9 (FE-POC10)_closed,Mesh,251.0246867,55.35055203,5.530357571,-3.418111828,8.948469399,163.2472817,725.799219
FE-POC10,2021-05-01,3-9 (FE-POC10),3-9 (FE-POC10)_closed,Mesh,457.1307095,93.80911807,5.711204868,-5.086280194,10.79748506,419.1308834,1472.461989
FE-POC11,2019-12-01,2-12 (FE-POC11),2-12 (FE-POC11)_closed,Mesh,1289.572613,238.6925727,12.64073088,-2.656969089,15.29769997,996.6944023,5009.343923
FE-POC11,2021-05-01,2-12 (FE-POC11),2-12 (FE-POC11)_closed,Mesh,2593.24046,443.3887598,16.17580967,-3.823038838,19.99884851,2677.26709,12516.20626
FE-POC12,2019-12-01,3-14 (FE-POC12),3-14 (FE-POC12)_closed,Mesh,2215.633156,459.3275116,16.33097875,-5.721621859,22.05260061,2220.910774,13897.29051
FE-POC12,2021-05-01,3-14 (FE-POC12),3-14 (FE-POC12)_closed,Mesh,3032.272601,647.0988972,19.70121628,-7.179535876,26.88075215,4793.433477,22826.30491
FE-POC13,2019-12-01,1-12 (FE-POC13),1-12 (FE-POC13)_closed,Mesh,1402.429423,369.0551434,7.533029138,-6.475830958,14.0088601,2364.918655,7425.379263
FE-POC13,2021-05-01,1-12 (FE-POC13),1-12 (FE-POC13)_closed,Mesh,1969.45119,506.3995867,8.800860094,-7.490229633,16.29108973,3894.693758,11635.78326
FE-POC14,2019-12-01,4-7 (FE-POC14),4-7 (FE-POC14)_closed,Mesh,3227.31316,517.840228,17.37824915,-4.513654182,21.89190333,3486.102457,14740.78337
FE-POC14,2021-05-01,4-7 (FE-POC14),4-7 (FE-POC14)_closed,Mesh,4804.53536,779.3743897,21.90170986,-4.514278632,26.41598849,5684.156701,25726.07634
FE-POC15,2019-12-01,3-5 (FE-POC15),3-5 (FE-POC15)_closed,Mesh,1927.44403,405.7285348,11.15223736,-6.77757539,17.92981275,3415.248953,9235.537112
FE-POC15,2021-05-01,3-5 (FE-POC15),3-5 (FE-POC15)_closed,Mesh,2453.604301,539.6761119,12.8089526,-8.450528243,21.25948084,5734.919766,15395.57672
FE-POC16,2019-12-01,2-8 (FE-POC16),2-8 (FE-POC16)_closed,Mesh,2221.049528,364.3123561,8.158399019,-7.580246963,15.73864598,2210.363923,7156.01642
FE-POC16,2021-05-01,2-8 (FE-POC16),2-8 (FE-POC16)_closed,Mesh,2354.526707,423.5534724,10.26098778,-7.438851838,17.69983961,3237.866405,9901.944922
FE-POC17,2019-12-01,2-11 (FE-POC17),2-11 (FE-POC17)_closed,Mesh,7483.069778,1165.270347,21.43859255,-8.555040195,29.99363274,14433.51714,47648.87214
FE-POC17,2021-05-01,2-11 (FE-POC17),2-11 (FE-POC17)_closed,Mesh,8250.75476,1540.876204,24.91369226,-9.928247853,34.84194011,22357.16402,72837.93935
FE-POC18,2019-12-01,1-13 (FE-POC18),1-13 (FE-POC18)_closed,Mesh,736.1512907,173.0670384,4.442634659,-7.461870684,11.90450534,848.0116672,2625.721956
FE-POC18,2021-05-01,1-13 (FE-POC18),1-13 (FE-POC18)_closed,Mesh,1010.610234,240.3445607,5.602947621,-8.436570116,14.03951774,1501.726994,4670.971535
FE-POC19,2019-12-01,4-15 (FE-POC19),4-15 (FE-POC19)_closed,Mesh,4959.389633,841.0340204,15.29698154,-7.900573941,23.19755548,9439.806126,25134.67998
