coral_id,slurry_date,nub,slurry_rep,slurry_volume,slurry_notes,dry_weight,dip_weight,wax_weight,surface_area,wax_dipping_notes,protein_analysis_date,protein_sample_notes,protein_absorbance,protein_absorbance_se,protein_mg_ml,protein_se,carb_analysis_date,carb_sample_notes,carb_absorbance,carb_absorbance_se,carb_mg_ml,carb_se,avg_num_zoox_cells,num_zoox_cells_se,haplotype,dna_collection_date,branch_width,burned_pan,burned_pan_se,burned_pan_dry_res,burned_pan_dry_res_se,dry_tissue,dry_tissue_se,burned_pan_burned_res,burned_pan_burned_res_se,afdw_g_ml,afdw_se,protein_mg_cm2,carb_mg_cm2,zooxdensity,zoox_cells_cm2,afdw_mg_cm2,protein_mg_cm2_se,carb_mg_cm2_se,zooxdensity_se,zoox_cells_cm2_se,afdw_mg_cm2_se
HAU-POC12,2019-08-04,2.0,1,21.0,,33.794,35.613,1.819,6957.06,,2020-11-02,smear,0.444,0.003511885,0.944,0.008082904,2020-11-18,,0.449333333,0.004702245,0.132666667,0.001333333,70.58333333,3.635803303,1a_Pe,2019-07-08,wide,0.78085,0.00125,0.8307,0.003,0.04985,0.00175,0.81795,0.00205,0.01275,0.00095,0.002849479521522,0.0004004565156833,705833.3333,2130.5695220826,0.038486084639201,2.43983786254539e-05,4.02468758354822e-06,36358.03303,109.747320510388,0.0028675906201757
HAU-POC13,2019-08-04,1.0,1,25.0,,41.797,44.459,2.662,10152.03,,2020-11-01,pellet,0.685666667,0.00617342,1.467333333,0.014621141,2020-11-16,"slow sulfuric addition, but seemed to react well based on high OD values",0.871,0.00450925,0.249666667,0.001333333,135.5,6.596716355,1a_Pe,2019-07-08,wide,0.7697,0.0004,0.8217,0.0001,0.052,0.0005,0.80675,5e-05,0.01495,0.00015,0.0036133988300862,0.0006148195656435,1355000.0,3336.77106943143,0.0368152970391143,3.60054614692825e-05,3.2834147456223e-06,65967.16355,162.448208757263,0.0003693842512285
HAU-POC14,2019-08-04,2.0,1,29.0,,35.862,38.015,2.153,8222.92,,2020-10-28,smear,0.366,0.003,0.874,0.009,2020-11-19,"moderately clumpy, possible discard",0.516,0.007,0.149,0.002,81.08333333,3.658651708,Did not amplify,2019-07-09,wide,0.7855,0.0104,0.8323,0.0102,0.0468,0.0002,0.82095,0.01045,0.01135,0.00025,0.0030823600375535,0.0005254824320314,810833.3333,2859.58840238018,0.0400283597554154,3.17405495857919e-05,7.05345546350931e-06,36586.51708,129.030684394351,0.0008816819329386
HAU-POC15,2019-08-04,2.0,1,22.0,,20.095,21.379,1.284,4929.41,,2020-11-02,pellet,0.772333333,0.005897269,1.768666667,0.015387585,2020-11-18,,1.242666667,0.028262657,0.361333333,0.008293237,222.8333333,11.18754268,3b,2019-07-09,tight,0.7817,0.0059,0.83025,0.00565,0.04855,0.00025,0.8179,0.0058,0.01235,0.00015,0.0078935748241676,0.0016126338296063,2228333.333,9945.07118012095,0.0551181581568585,6.86749266139356e-05,3.70127893601871e-05,111875.4268,499.301009573154,0.000669451313646
HAU-POC16,2019-08-04,2.0,1,20.0,"clumpy, still used for AFDW",18.003,18.892,0.889,3432.36,,2020-11-02,smear,0.349666667,0.003711843,0.708333333,0.008950481,2020-11-17,,0.432,0.002309401,0.128,0.00057735,33.38888889,2.089717886,8a,2019-07-09,tight,0.77645,0.00895,0.82265,0.01075,0.0462,0.0018,0.81095,0.01015,0.0117,0.0006,0.0041273836835297,0.0007458425106923,333888.8889,1945.53536866762,0.0681746669929728,5.21535095386265e-05,3.36415760584554e-06,20897.17886,121.765658963512,0.0034961367688704
HAU-POC17,2019-08-04,2.0,1,18.0,,19.915,21.447,1.532,5869.33,,2020-11-02,pellet,0.671666667,0.012251984,1.449,0.028213472,2020-11-17,,0.8,0.016772994,0.229333333,0.004630815,155.5,2.404856198,1a_Pe,2019-07-10,wide,0.7771,0.0043,0.8284,0.0042,0.0513,0.0001,0.8135,0.0043,0.0149,0.0001,0.0044437780802919,0.0007033170726471,1555000.0,4768.85777422636,0.0456951645247413,8.65247815338378e-05,1.42017351213852e-05,24048.56198,73.7518789435932,0.0003066789565418
HAU-POC18,2019-08-04,1.0,1,24.0,,26.917,28.572,1.655,6335.5,,,,,,,,2020-11-19,"somewhat clumpy, maybe discard",0.704333333,0.006119187,0.225666667,0.002027588,,,1a_Pe,2019-07-10,wide,0.78255,0.00325,0.8311,0.0042,0.04855,0.00095,0.8173,0.0039,0.0138,0.0003,,0.0008548654420329,,,0.0522768526556704,,7.68086370452214e-06,,,0.0011364533186015
HAU-POC19,2019-08-04,1.0,1,25.0,,16.322,17.499,1.177,4523.88,,2020-11-02,pellet,0.523,0.006557439,1.107666667,0.015059143,2020-11-17,,0.494666667,0.004910307,0.145,0.001154701,73.25,1.919299904,1a_Pm,2019-07-13,tight,0.77445,0.00525,0.8228,0.0052,0.04835,5e-05,0.8106,0.0054,0.0122,0.0002,0.0061212204291448,0.0008013033060116,732500.0,4047.96325278301,0.0674200022989116,8.32202832524293e-05,6.38114295693078e-06,19192.99904,106.064921262279,0.0011052459393264
HAU-POC20,2019-08-04,1.0,1,23.0,,41.689,44.774,3.085,11755.2,,2020-11-03,pellet/smear,0.513,0.005507571,1.776333333,0.020827332,2020-11-19,,0.876666667,0.004807402,0.279,0.001527525,119.1666667,8.549528902,1a_Pe,2019-07-13,wide,0.77305,0.00175,0.82605,0.00175,0.053,0.0,0.8101,0.0018,0.01595,5e-05,0.003475539902256,0.0005458860759493,1191666.667,2331.59226053151,0.0312074656322308,4.07503603511637e-05,2.98872626582278e-06,85495.28902,167.278451022526,9.78290458690622e-05
HAU-POC21,2019-08-04,1.0,1,21.0,,12.629,13.489,0.86,3322.45,,2020-11-02,smear,0.379666667,0.004666667,0.782333333,0.011406626,2020-11-18,,0.387666667,0.004702245,0.115333333,0.001333333,62.25,2.355280978,1a_Pm,2019-07-13,tight,0.77095,0.00025,0.8174,0.0007,0.04645,0.00045,0.80655,0.00055,0.01085,0.00015,0.0049448449165525,0.0007289801179852,622500.0,3934.59645743352,0.0685789101416124,7.20971409652515e-05,8.42751373233608e-06,23552.80978,148.868758109227,0.0009480955319116
HAU-POC22,2019-08-16,1.0,1,20.0,,23.512,25.366,1.854,7089.71,,2020-11-03,,0.907,0.024879711,0.504333333,0.014847372,2020-11-19,Diluted 8x,0.871,0.01942507,0.399666667,0.008838049,160.1666667,8.068112818,3b,2019-07-29,tight,0.77335,0.01535,0.8426,0.0025,0.06925,0.01285,0.82385,0.00205,0.01875,0.00045,0.001422719217006,0.0011274556138403,1601666.667,4518.28542211177,0.0528935598212057,4.18842858170503e-05,2.49320465858265e-05,80681.12818,227.600644257664,0.0012694454357089
HAU-POC23,2019-08-16,2.0,1,15.0,,14.546,15.424,0.878,3390.67,,2020-11-03,,0.456333333,0.002666667,0.952,0.006027714,2020-11-19,,0.474666667,0.005897269,0.154333333,0.001763834,76.16666667,3.603099115,1a_Pe,2019-07-29,tight,0.7826,0.0015,0.8321,0.0014,0.0495,0.0001,0.81895,0.00135,0.01315,5e-05,0.0042115570079069,0.0006827559140228,761666.6667,3369.54053343439,0.0581743431239254,2.666603060752e-05,7.8030330288704e-06,36030.99115,159.397661008001,0.0002211952210035
HAU-POC24,2019-08-16,2.0,1,15.5,"mismatch with dipped nub number, check nub",16.588,17.424,0.836,3231.49,,2020-11-01,smear,0.482666667,0.004630815,0.991666667,0.010137938,2020-11-16,,0.527,0.007505553,0.153,0.002,69.5,3.385575462,1a_Pe,2019-07-29,wide,0.76085,0.00365,0.80855,0.00445,0.0477,0.0008,0.79625,0.00365,0.0123,0.0008,0.0047565777206489,0.0007338719909391,695000.0,3333.60152746875,0.0589975522127563,4.86271159743648e-05,9.59309792077339e-06,33855.75462,162.390784625668,0.0038372391683093
HAU-POC25,2019-08-16,1.0,1,35.0,,29.995,32.074,2.079,7942.46,,2020-11-03,,0.484333333,0.008666667,0.254666667,0.005487359,2020-11-18,,0.561,0.003605551,0.164666667,0.000881917,105.5,4.136863107,1a_Pe,2019-07-29,wide,0.7694,0.0084,0.8194,0.0085,0.05,0.0001,0.80575,0.00825,0.01365,0.00025,0.0011222383675838,0.0007256358036427,1055000.0,4649.06338842122,0.0601513888644072,2.41811183185059e-05,3.88633937092538e-06,41368.63107,182.298946101082,0.0011016737887254
HAU-POC26,2019-08-16,2.0,1,14.5,nub not recorded; used wax dip data,19.467,20.563,1.096,4216.89,,2020-11-01,pellet/smear,1.044666667,0.002027588,2.309333333,0.004630815,2020-11-16,,0.967,0.004163332,0.276666667,0.00120185,122.5,4.440345332,1a_Pm,2019-07-30,tight,0.768,0.006,0.8248,0.0077,0.0568,0.0017,0.80575,0.00635,0.01905,0.00135,0.0079407651915274,0.0009513330135478,1225000.0,4212.22749467024,0.0655044357334434,1.59233030740664e-05,4.13262499140362e-06,44403.45332,152.683630149233,0.0046420466267794
HAU-POC27,2019-08-16,1.0,1,16.0,nub not recorded; used wax dip data,14.134,14.935,0.801,3098.84,,2020-11-02,pellet/smear,0.626333333,0.011976829,1.345333333,0.027479285,,,,,,,68.91666667,3.107806235,10,2019-07-30,tight,0.778,0.0024,0.82975,0.00235,0.05175,5e-05,0.81485,0.00255,0.0149,0.0002,0.0069462551561229,,689166.6667,3558.32074815092,0.0769320132694815,0.0001418816589433,,31078.06235,160.462946651005,0.0010326444734158
