Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3),Convex Hull Volume (cm^3)
2-6B (FE-POC87), 2-6B (FE-POC87)_closed_200K,Mesh,2676.260228,533.1519738,11.8363918,-5.848406566,17.68479836,2313.884379,13008.20751,6108.737863
2-6C (FE-POC88), 2-6C (FE-POC88)_open_200K,Mesh,1619.545279,384.7379417,8.845652988,-5.505649626,14.35130261,0,7247.370016,3376.199952
2-6C (FE-POC88), 2-6C (FE-POC88)_closed_200K,Mesh,1735.628125,384.7169403,8.845652988,-5.505649626,14.35130261,1946.113593,7247.449174,3375.842046
2-6D (FE-POC89), 2-6D (FE-POC89)_open_200K,Mesh,2299.577001,430.2590667,14.30799157,-3.879989785,18.18798135,0,9789.368498,5054.456145
2-6D (FE-POC89), 2-6D (FE-POC89)_closed_200K,Mesh,2399.272004,430.2558363,14.30799157,-3.879989785,18.18798135,2750.495649,9787.980352,5053.491908
2-6E (FE-POC90), 2-6E (FE-POC90)_open_200K,Mesh,2308.02044,431.0562864,13.99090115,-4.85477553,18.84567668,0,10558.1543,5239.052078
2-6E (FE-POC90), 2-6E (FE-POC90)_closed_200K,Mesh,2430.213138,431.051838,13.99090115,-4.832506603,18.82340776,2297.660372,10545.67829,5234.628219
2-6F (FE-POC91), 2-6F (FE-POC91)_open_200K,Mesh,1765.615878,323.8165225,16.98784104,-3.257423965,20.245265,0,9046.452776,3867.609431
2-6F (FE-POC91), 2-6F (FE-POC91)_closed_200K,Mesh,1828.337465,323.8176948,16.98784104,-3.257423965,20.245265,1550.492489,9045.605207,3865.864648
2-7A (FE-POC92), 2-7A (FE-POC92)_open_200K,Mesh,2609.573992,569.0513955,15.19117243,-3.7268521,18.91802453,0,16019.08107,6639.084748
2-7A (FE-POC92), 2-7A (FE-POC92)_closed_200K,Mesh,2735.828359,569.0281806,15.19117243,-3.7268521,18.91802453,3040.165913,16017.94981,6632.916946
2-8A (FE-POC93), 2-8A (FE-POC93)_open_200K,Mesh,2332.398144,476.5040094,14.82657294,-5.360009125,20.18658206,0,13175.80072,6019.108932
2-8A (FE-POC93), 2-8A (FE-POC93)_closed_200K,Mesh,2486.243922,476.4992956,14.82657294,-5.360009125,20.18658206,3487.567079,13176.65807,6018.214915
2-9A (FE-POC94), 2-9A (FE-POC94)_open_200K,Mesh,2760.318884,597.3845779,13.71179662,-6.05814231,19.76993893,0,14709.8254,6782.008371
2-9A (FE-POC94), 2-9A (FE-POC94)_closed_200K,Mesh,2855.322853,597.3800151,13.71179662,-6.057029178,19.76882579,4279.274406,14710.14384,6775.812978
2-9B (FE-POC95), 2-9B (FE-POC95)_open_200K,Mesh,2380.63878,473.3397065,12.81104224,-6.443308034,19.25435027,0,12709.69422,6114.884111
2-9B (FE-POC95), 2-9B (FE-POC95)_closed_200K,Mesh,2544.176941,473.3528388,12.81104224,-6.443308034,19.25435027,3842.069745,12709.69422,6113.339565
2-9C (FE-POC96), 2-9C (FE-POC96)_open_200K,Mesh,2089.862957,425.863366,13.49700703,-6.784209486,20.28121652,0,12050.26167,5271.217082
2-9C (FE-POC96), 2-9C (FE-POC96)_closed_200K,Mesh,2241.781168,425.8837808,13.49700703,-6.784209486,20.28121652,2798.954108,12049.17634,5270.459308
3-1A (FE-POC97), 3-1A (FE-POC97)_open_200K,Mesh,2369.446221,509.4220287,10.17973718,-8.427899288,18.60763647,0,15305.95526,5789.272957
3-1A (FE-POC97), 3-1A (FE-POC97)_closed_200K,Mesh,2501.823478,509.4720981,10.17973718,-8.427899288,18.60763647,2450.967009,15305.95526,5784.819871
3-2A (FE-POC98), 3-2A (FE-POC98)_open_200K,Mesh,1636.882822,349.1985223,9.594735737,-4.902924828,14.49766057,0,7014.40788,3186.912175
3-2A (FE-POC98), 3-2A (FE-POC98)_closed_200K,Mesh,1729.478592,349.1910306,9.594735737,-4.902924828,14.49766057,1364.72276,7014.40788,3185.740668
3-3A (FE-POC99), 3-3A (FE-POC99)_open_200K,Mesh,2642.076205,483.4586439,13.4072028,-6.373872455,19.78107525,0,12363.03037,5859.332612
3-3A (FE-POC99), 3-3A (FE-POC99)_closed_200K,Mesh,2765.034463,483.4497293,13.4072028,-6.355303591,19.76250639,2856.127425,12351.42496,5851.279471
3-4A (FE-POC100), 3-4A (FE-POC100)_open_200K,Mesh,2121.7142,464.0798577,13.74141642,-3.745091394,17.48650781,0,10387.07324,4245.805776
3-4A (FE-POC100), 3-4A (FE-POC100)_closed_200K,Mesh,2169.525778,464.0586214,13.74141642,-3.745091394,17.48650781,1601.550209,10383.50723,4244.030604
3-5A (FE-POC101), 3-5A (FE-POC101)_open_200K,Mesh,2222.578791,428.4112696,15.30584415,-5.328976247,20.63482039,0,12640.84377,5310.748582
3-5A (FE-POC101), 3-5A (FE-POC101)_closed_200K,Mesh,2347.879402,428.3908104,15.30584415,-5.328976247,20.63482039,2083.08493,12639.96787,5308.608701
3-5B (FE-POC102), 3-5B (FE-POC102)_open_200K,Mesh,1946.99802,348.8757606,14.33482804,-7.928532798,22.26336084,0,10638.04719,4624.166202
3-5B (FE-POC102), 3-5B (FE-POC102)_closed_200K,Mesh,2124.247909,348.9057346,14.33482804,-7.928532798,22.26336084,2218.657342,10637.1909,4621.510412
3-5C (FE-POC103), 3-5C (FE-POC103)_open_200K,Mesh,2554.062725,444.7348233,17.28446668,-4.835674913,22.12014159,0,12452.87058,6413.650684
3-5C (FE-POC103), 3-5C (FE-POC103)_closed_200K,Mesh,2688.041396,444.6972841,17.28446668,-4.835674913,22.12014159,3343.310645,12452.87058,6409.695004
3-5D (FE-POC104), 3-5D (FE-POC104)_open_200K,Mesh,1542.011539,394.7641001,11.01333642,-4.308042397,15.32137881,0,8266.715705,3699.580592
3-5D (FE-POC104), 3-5D (FE-POC104)_closed_200K,Mesh,1646.46309,394.7696401,11.01333642,-4.308042397,15.32137881,1814.605099,8266.715705,3699.396029
3-5E (FE-POC105), 3-5E (FE-POC105)_open_200K,Mesh,2127.523166,407.968205,14.9001537,-7.545166099,22.4453198,0,11354.8133,5945.963834
3-5E (FE-POC105), 3-5E (FE-POC105)_closed_200K,Mesh,2306.487274,407.9523176,14.9001537,-7.545166099,22.4453198,2863.623824,11354.8133,5941.947767
3-5F (FE-POC106), 3-5F (FE-POC106)_open_200K,Mesh,1616.208067,404.876279,11.03937875,-5.825058817,16.86443757,0,9516.686954,3901.080502
