chunk,version,issues_with_model,model,model_type,surface_area_cm2,area_cm2,max_height_cm,min_height_cm,height_range_cm,volume_cm3,extent_volume_cm3,convex_hull_volume_cm3,sampling_date
1-1 (FE-POC61),1,no, 1-1 (FE-POC61)_open_200K,Mesh,1687.838566,326.5818592,9.902260898,-5.803455194,15.70571609,0.0,6596.485032,3123.057453,2019-12-01
1-1 (FE-POC61),1,no, 1-1 (FE-POC61)_closed_200K,Mesh,1792.654756,326.5566179,9.902260898,-5.803455194,15.70571609,1435.430438,6596.309182,3118.967266,2019-12-01
1-2A (FE-POC62),1,no, 1-2A (FE-POC62)_open_200K,Mesh,1575.674523,339.8578851,10.74250662,-5.572637149,16.31514377,0.0,7564.590265,3316.017454,2019-12-01
1-2A (FE-POC62),1,no, 1-2A (FE-POC62)_closed_200K,Mesh,1659.393119,339.867183,10.74250662,-5.572637149,16.31514377,1755.475392,7564.590265,3315.13853,2019-12-01
1-2B (FE-POC63),1,no, 1-2B (FE-POC63)_open_200K,Mesh,1599.345413,340.0651004,10.89031964,-8.337293477,19.22761311,0.0,9365.728446,3721.005422,2019-12-01
1-2B (FE-POC63),1,no, 1-2B (FE-POC63)_closed_200K,Mesh,1764.543672,340.0649574,10.88680832,-8.337293477,19.2241018,1369.658065,9364.311811,3716.698634,2019-12-01
1-2C (FE-POC64),1,no, 1-2C (FE-POC64)_open_200K,Mesh,1559.25353,324.5796596,11.21642778,-5.512060097,16.72848788,0.0,6688.556906,3097.230321,2019-12-01
1-2C (FE-POC64),1,no, 1-2C (FE-POC64)_closed_200K,Mesh,1684.164427,324.5800058,11.2178427,-5.455397478,16.67324018,1362.423582,6666.561048,3094.648829,2019-12-01
1-2D (FE-POC65),1,no, 1-2D (FE-POC65)_open_200K,Mesh,1299.887907,254.2040075,8.054193188,-7.409373493,15.46356668,0.0,5621.182558,2492.682216,2019-12-01
1-2D (FE-POC65),1,no, 1-2D (FE-POC65)_closed_200K,Mesh,1456.09219,254.0458995,8.054193188,-7.409373493,15.46356668,1060.961976,5601.584458,2487.913629,2019-12-01
1-2E (FE-POC66),1,no, 1-2E (FE-POC66)_open_200K,Mesh,1375.840991,277.5907857,7.220261788,-7.417187958,14.63744975,0.0,5517.609548,2683.261683,2019-12-01
1-2E (FE-POC66),1,no, 1-2E (FE-POC66)_closed_200K,Mesh,1581.576169,277.5728331,7.220261788,-7.412164289,14.63242608,1125.944072,5512.824735,2679.440122,2019-12-01
1-2F (FE-POC67),1,no, 1-2F (FE-POC67)_open_200K,Mesh,1836.886387,348.3703914,12.68187108,-5.986509965,18.66838104,0.0,9274.821799,4028.403856,2019-12-01
1-2F (FE-POC67),1,no, 1-2F (FE-POC67)_closed_200K,Mesh,1943.960482,348.3502405,12.68187108,-5.986509965,18.66838104,1650.188919,9274.821799,4027.180175,2019-12-01
1-3 (FE-POC68),1,no, 1-3 (FE-POC68)_open_200K,Mesh,1388.165056,277.6175174,9.485845327,-7.133495228,16.61934055,0.0,6540.971823,2932.286031,2019-12-01
