chunk,version,issues_with_model,model,model_type,surface_area_cm2,area_cm2,max_height_cm,min_height_cm,height_range_cm,volume_cm3,extent_volume_cm3,convex_hull_volume_cm3,sampling_date
1-3 (FE-POC68),1,no, 1-3 (FE-POC68)_closed_200K,Mesh,1536.623176,277.5792374,9.485845327,-7.133495228,16.61934055,1189.243033,6541.524817,2926.587648,2019-12-01
1-4A (FE-POC69),1,no, 1-4A (FE-POC69)_open_200K,Mesh,1245.511003,234.2469425,8.223450563,-7.242605448,15.46605601,0.0,4901.178037,2354.600223,2019-12-01
1-4A (FE-POC69),1,no, 1-4A (FE-POC69)_closed_200K,Mesh,1373.603588,234.2281512,8.223450563,-7.242605448,15.46605601,1116.105378,4899.957543,2353.818669,2019-12-01
1-4B (FE-POC70),1,no, 1-4B (FE-POC70)_open_200K,Mesh,1606.84292,321.2539931,8.786687393,-6.366250665,15.15293806,0.0,6785.864825,3014.569485,2019-12-01
1-4B (FE-POC70),1,no, 1-4B (FE-POC70)_closed_200K,Mesh,1694.914118,321.2425786,8.786687393,-6.366250665,15.15293806,1020.43102,6785.864825,3012.000106,2019-12-01
1-4C (FE-POC71),1,no, 1-4C (FE-POC71)_open_200K,Mesh,1557.902271,273.5790351,11.10761848,-6.169718326,17.27733681,0.0,6070.771794,2949.676558,2019-12-01
1-4C (FE-POC71),1,no, 1-4C (FE-POC71)_closed_200K,Mesh,1652.912159,273.5787119,11.10833919,-6.169718326,17.27805752,1203.263059,6071.025032,2948.593814,2019-12-01
1-5 (FE-POC72),1,no, 1-5 (FE-POC72)_open_200K,Mesh,1447.943236,288.3137663,11.40590141,-6.720309426,18.12621083,0.0,7169.632761,3384.967391,2019-12-01
1-5 (FE-POC72),1,no, 1-5 (FE-POC72)_closed_200K,Mesh,1567.533965,288.2503573,11.40590141,-6.696526404,18.10242781,1027.783403,7159.332051,3383.625783,2019-12-01
1-6A (FE-POC73),1,no, 1-6A (FE-POC73)_open_200K,Mesh,1260.889501,268.8992405,7.210434903,-6.847426243,14.05786115,0.0,4886.258887,2342.238792,2019-12-01
1-6A (FE-POC73),1,no, 1-6A (FE-POC73)_closed_200K,Mesh,1385.647155,268.8983015,7.211697268,-6.803256335,14.0149536,1003.719569,4871.344999,2341.015536,2019-12-01
1-6B (FE-POC74),1,no, 1-6B (FE-POC74)_open_200K,Mesh,2011.103877,368.3067512,10.5916679,-7.70906709,18.30073499,0.0,8326.034279,4348.233285,2019-12-01
1-6B (FE-POC74),1,no, 1-6B (FE-POC74)_closed_200K,Mesh,2154.253733,368.3213619,10.5916679,-7.705840971,18.29750887,1522.579795,8324.566536,4344.241837,2019-12-01
1-6C (FE-POC75),1,no, 1-6C (FE-POC75)_open_200K,Mesh,1540.890782,294.660949,9.801355396,-5.536527897,15.33788329,0.0,5649.839569,2892.691891,2019-12-01
1-6C (FE-POC75),1,no, 1-6C (FE-POC75)_closed_200K,Mesh,1636.364273,294.6527195,9.801355396,-5.536527897,15.33788329,1211.681142,5650.722283,2890.747023,2019-12-01
1-7 (FE-POC76),1,no, 1-7 (FE-POC76)_open_200K,Mesh,1919.944585,386.3321887,7.609030517,-7.817447055,15.42647757,0.0,8507.867563,3901.459164,2019-12-01
1-7 (FE-POC76),1,no, 1-7 (FE-POC76)_closed_200K,Mesh,2155.959658,386.3292375,7.609030517,-7.817447055,15.42647757,1618.314912,8507.867563,3896.0732,2019-12-01
1-8 (FE-POC77),1,no, 1-8 (FE-POC77)_open_200K,Mesh,2939.034863,500.8687953,13.01010735,-8.292134203,21.30224155,0.0,13872.57422,6599.714727,2019-12-01
1-8 (FE-POC77),1,no, 1-8 (FE-POC77)_closed_200K,Mesh,3081.189424,500.8643073,13.00343174,-8.276898837,21.28033057,3335.369415,13858.30522,6596.724848,2019-12-01
1-9 (FE-POC78),1,no, 1-9 (FE-POC78)_open_200K,Mesh,2845.039781,603.1287122,12.90558783,-6.377013302,19.28260114,0.0,14633.84686,6702.713368,2019-12-01
1-9 (FE-POC78),1,no, 1-9 (FE-POC78)_closed_200K,Mesh,2958.068967,603.1277489,12.90558783,-6.363995535,19.26958337,2301.38999,14621.89481,6698.475312,2019-12-01
2-1 (FE-POC79),1,no, 2-1 (FE-POC79)_open_200K,Mesh,1682.455828,317.2948627,13.79867991,-3.469299053,17.26797896,0.0,7217.878188,3479.554416,2019-12-01
2-1 (FE-POC79),1,no, 2-1 (FE-POC79)_closed_200K,Mesh,1778.876569,317.2194358,13.79867991,-3.469299053,17.26797896,980.0680177,7216.864232,3478.375607,2019-12-01
2-1 (FE-POC79)-2,2,no, 2-1 (FE-POC79)-2_open_200K,Mesh,1691.527839,317.9292376,13.76543031,-3.477979242,17.24340955,0.0,7226.794523,3489.234556,2019-12-01
2-1 (FE-POC79)-2,2,no, 2-1 (FE-POC79)-2_closed_200K,Mesh,1796.604167,317.9909979,13.7648869,-3.463487563,17.22837446,984.0622507,7223.722736,3486.597283,2019-12-01
2-2 (FE-POC80)_issues_with_model,1,yes, 2-2 (FE-POC80)_open_200K,Mesh,1347.383752,271.9739445,6.907673109,-5.129164913,12.03683802,0.0,4373.148024,2082.256344,2019-12-01
2-2 (FE-POC80)_issues_with_model,1,yes, 2-2 (FE-POC80)_closed_200K,Mesh,1472.924582,271.9575618,6.907673109,-5.124033627,12.03170674,677.3343538,4371.054958,2079.299317,2019-12-01
2-2 (FE-POC80)-2,2,no, 2-2 (FE-POC80)-2_open_200K,Mesh,1397.330212,282.2970022,6.67050538,-5.076676596,11.74718198,0.0,4429.681039,2168.888741,2019-12-01
2-2 (FE-POC80)-2,2,no, 2-2 (FE-POC80)-2_closed_200K,Mesh,1479.189829,282.301104,6.67050538,-5.065339039,11.73584442,638.1235289,4425.405821,2166.401747,2019-12-01
2-3 (FE-POC81),1,no, 2-3 (FE-POC81)_open_200K,Mesh,1210.778113,239.3016555,8.896187476,-7.136991905,16.03317938,0.0,5026.793146,2305.433136,2019-12-01
2-3 (FE-POC81),1,no, 2-3 (FE-POC81)_closed_200K,Mesh,1300.836024,239.1553506,8.896187476,-7.136991905,16.03317938,779.4013823,5022.259506,2303.927405,2019-12-01
2-3 (FE-POC81)-2,2,no, 2-3 (FE-POC81)-2_open_200K,Mesh,1189.27939,236.1487758,8.924350453,-6.599254314,15.52360477,0.0,4785.365411,2267.716618,2019-12-01
2-3 (FE-POC81)-2,2,no, 2-3 (FE-POC81)-2_closed_200K,Mesh,1284.821152,236.064678,8.924350453,-6.599254314,15.52360477,744.8698453,4782.637158,2265.788877,2019-12-01
2-4A (FE-POC82),1,no, 2-4A (FE-POC82)_open_200K,Mesh,1439.629171,284.1300903,6.99285445,-6.210144825,13.20299927,0.0,5341.959575,2276.185812,2019-12-01
2-4A (FE-POC82),1,no, 2-4A (FE-POC82)_closed_200K,Mesh,1545.694328,284.1233494,6.99285445,-6.187234897,13.18008935,954.2826622,5333.49299,2271.510919,2019-12-01
2-4A (FE-POC82)-2,2,no, 2-4A (FE-POC82)-2_open_200K,Mesh,1400.096467,277.519876,7.53383946,-5.646229862,13.18006932,0.0,5199.598984,2208.375973,2019-12-01
2-4A (FE-POC82)-2,2,no, 2-4A (FE-POC82)-2_closed_200K,Mesh,1502.837371,277.4908158,7.531054307,-5.539379098,13.07043341,928.7917973,5154.596516,2200.820437,2019-12-01
2-4B (FE-POC83),1,no, 2-4B (FE-POC83)_open_200K,Mesh,2060.879291,296.2541273,11.00099556,-6.127269814,17.12826537,0.0,6539.72251,3438.392144,2019-12-01
2-4B (FE-POC83),1,no, 2-4B (FE-POC83)_closed_200K,Mesh,2188.442974,296.2616415,11.00099556,-6.119191814,17.12018737,1162.76233,6536.574558,3435.8021,2019-12-01
2-4B (FE-POC83)-2,2,no, 2-4B (FE-POC83)-2_open_200K,Mesh,2075.715716,301.9998624,11.09643376,-6.467381842,17.5638156,0.0,6833.136996,3509.619621,2019-12-01
2-4B (FE-POC83)-2,2,no, 2-4B (FE-POC83)-2_closed_200K,Mesh,2188.852085,302.0591811,11.09643376,-6.467381842,17.5638156,1211.267168,6830.353238,3504.948702,2019-12-01
2-4C (FE-POC84),1,no, 2-4C (FE-POC84)_open_200K,Mesh,1454.699349,248.4316564,8.090233061,-6.642443223,14.73267628,0.0,4521.016255,1905.234353,2019-12-01
2-4C (FE-POC84),1,no, 2-4C (FE-POC84)_closed_200K,Mesh,1506.164342,248.4297292,8.090233061,-6.619028155,14.70926122,678.1067942,4513.999821,1903.635479,2019-12-01
2-4C (FE-POC84)-2,2,no, 2-4C (FE-POC84)-2_open_200K,Mesh,1522.875308,262.2854326,8.119106011,-6.059360396,14.17846641,0.0,4568.074829,2027.679269,2019-12-01
2-4C (FE-POC84)-2,2,no, 2-4C (FE-POC84)-2_closed_200K,Mesh,1583.630268,262.2608933,8.119106011,-6.043311861,14.16241787,718.5400509,4564.135691,2026.985694,2019-12-01
2-5 (FE-POC85),1,no, 2-5 (FE-POC85)_open_200K,Mesh,1015.646813,196.5908542,8.30915695,-5.69486598,14.00402293,0.0,3891.552763,1573.182545,2019-12-01
2-5 (FE-POC85),1,no, 2-5 (FE-POC85)_closed_200K,Mesh,1065.395829,196.5774241,8.30915695,-5.684116701,13.99327365,592.0843413,3888.565665,1572.276443,2019-12-01
2-5 (FE-POC85)-2,2,no, 2-5 (FE-POC85)-2_open_200K,Mesh,1067.291959,206.260114,8.138591612,-6.193988658,14.33258027,0.0,4182.456905,1705.031701,2019-12-01
2-5 (FE-POC85)-2,2,no, 2-5 (FE-POC85)-2_closed_200K,Mesh,1121.663574,206.218324,8.138591612,-6.177057697,14.31564931,636.9317262,4177.516203,1704.351961,2019-12-01
2-6A (FE-POC86),1,no, 2-6A (FE-POC86)_open_200K,Mesh,1441.982091,286.4864823,7.877823461,-5.57807267,13.45589613,0.0,4984.407921,2300.144938,2019-12-01
2-6A (FE-POC86),1,no, 2-6A (FE-POC86)_closed_200K,Mesh,1528.954787,286.4935576,7.877823461,-5.565591661,13.44341512,794.7851475,4980.736511,2297.056958,2019-12-01
2-6A (FE-POC86)-2,2,no, 2-6A (FE-POC86)-2_open_200K,Mesh,1494.576241,295.5566461,8.244156502,-5.446234528,13.69039103,0.0,5226.561058,2446.398993,2019-12-01
2-6A (FE-POC86)-2,2,no, 2-6A (FE-POC86)-2_closed_200K,Mesh,1592.113925,295.5552227,8.244156502,-5.445258785,13.68941529,829.1696095,5225.712656,2425.522109,2019-12-01
2-6B (FE-POC87),1,no, 2-6B (FE-POC87)_open_200K,Mesh,1996.182561,379.9942062,8.499419537,-6.314391477,14.81381101,0.0,7513.213422,3531.630921,2019-12-01
2-6B (FE-POC87),1,no, 2-6B (FE-POC87)_closed_200K,Mesh,2092.516518,379.9868069,8.499419537,-6.227194787,14.72661432,1083.164566,7469.207422,3527.069529,2019-12-01
2-6B (FE-POC87)-2,2,no, 2-6B (FE-POC87)-2_open_200K,Mesh,2009.056808,383.1401049,8.497312034,-5.814681854,14.31199389,0.0,7314.672447,3536.281268,2019-12-01
2-6B (FE-POC87)-2,2,no, 2-6B (FE-POC87)-2_closed_200K,Mesh,2101.139632,383.0864439,8.49771884,-5.740213245,14.23793208,1080.654932,7275.38951,3532.485131,2019-12-01
2-6C (FE-POC88),1,no, 2-6C (FE-POC88)_open_200K,Mesh,1160.010363,219.1164292,6.714447358,-5.843351026,12.55779838,0.0,3985.925125,1563.316853,2019-12-01
2-6C (FE-POC88),1,no, 2-6C (FE-POC88)_closed_200K,Mesh,1238.791802,219.0899857,6.714447358,-5.813278105,12.52772546,693.3712261,3976.379958,1559.904226,2019-12-01
2-6C (FE-POC88)-2,2,no, 2-6C (FE-POC88)-2_open_200K,Mesh,1120.564163,212.8840308,6.875342001,-5.216768439,12.09211044,0.0,3734.99402,1482.245559,2019-12-01
2-6C (FE-POC88)-2,2,no, 2-6C (FE-POC88)-2_closed_200K,Mesh,1190.638977,212.8525124,6.871743897,-5.190868366,12.06261226,667.9439683,3726.578636,1479.199379,2019-12-01
2-6D (FE-POC89),1,no, 2-6D (FE-POC89)_open_200K,Mesh,1624.718785,268.2426517,10.36424958,-5.30714011,15.67138969,0.0,5653.802483,2602.21941,2019-12-01
2-6D (FE-POC89),1,no, 2-6D (FE-POC89)_closed_200K,Mesh,1695.346929,268.2484818,10.36827015,-5.248209421,15.61647957,1105.749837,5633.515766,2599.590449,2019-12-01
2-6D (FE-POC89)-2,2,no, 2-6D (FE-POC89)-2_open_200K,Mesh,1594.702531,259.482662,10.39399956,-6.038149126,16.43214869,0.0,5721.784532,2538.230035,2019-12-01
2-6D (FE-POC89)-2,2,no, 2-6D (FE-POC89)-2_closed_200K,Mesh,1662.894397,259.4643043,10.39399956,-6.038149126,16.43214869,1089.944593,5722.240307,2535.021043,2019-12-01
2-6E (FE-POC90),1,no, 2-6E (FE-POC90)_open_200K,Mesh,1963.639146,344.9456106,12.35197323,-5.200971167,17.5529444,0.0,8361.094608,3839.549843,2019-12-01
2-6E (FE-POC90),1,no, 2-6E (FE-POC90)_closed_200K,Mesh,2077.95426,344.8611715,12.35197323,-5.192792276,17.54476551,1097.68874,8357.390102,3834.992385,2019-12-01
2-6E (FE-POC90)-2,2,no, 2-6E (FE-POC90)-2_open_200K,Mesh,1929.440599,335.3437311,12.46250511,-4.97730267,17.43980778,0.0,7987.049784,3695.202027,2019-12-01
2-6E (FE-POC90)-2,2,no, 2-6E (FE-POC90)-2_closed_200K,Mesh,2040.493304,335.1965665,12.46250511,-4.965721087,17.4282262,1038.867731,7981.594663,3692.514872,2019-12-01
2-6F (FE-POC91),1,no, 2-6F (FE-POC91)_open_200K,Mesh,1306.87953,228.1459601,12.88141509,-4.785532057,17.66694714,0.0,5627.90626,2446.798535,2019-12-01
2-6F (FE-POC91),1,no, 2-6F (FE-POC91)_closed_200K,Mesh,1377.444122,228.1509642,12.88788749,-4.785532057,17.67341954,801.1261537,5629.968236,2445.329623,2019-12-01
2-6F (FE-POC91)-2,2,no, 2-6F (FE-POC91)-2_open_200K,Mesh,1287.517611,226.3265933,10.40001279,-7.062345061,17.46235785,0.0,5417.650575,2381.423417,2019-12-01
2-6F (FE-POC91)-2,2,no, 2-6F (FE-POC91)-2_closed_200K,Mesh,1352.409887,226.3380581,10.39856384,-7.019559739,17.41812357,782.1924464,5403.927007,2379.929385,2019-12-01
2-7 (FE-POC92),1,no, 2-7 (FE-POC92)_open_200K,Mesh,1964.029269,375.2755359,12.47371732,-4.365287105,16.83900443,0.0,9364.848085,3717.963187,2019-12-01
2-7 (FE-POC92),1,no, 2-7 (FE-POC92)_closed_200K,Mesh,2061.244183,375.2921671,12.47371732,-4.343409372,16.81712669,1422.573545,9352.680711,3712.614217,2019-12-01
2-8 (FE-POC93),1,no, 2-8 (FE-POC93)_open_200K,Mesh,1941.95902,344.890536,11.38756308,-5.837321806,17.22488489,0.0,7843.129107,3529.353151,2019-12-01
2-8 (FE-POC93),1,no, 2-8 (FE-POC93)_closed_200K,Mesh,2076.24896,344.8976333,11.38756308,-5.837321806,17.22488489,1318.195148,7844.58456,3527.79111,2019-12-01
2-9A (FE-POC94),1,no, 2-9A (FE-POC94)_open_200K,Mesh,1623.738994,319.0998393,9.296865431,-5.067731595,14.36459703,0.0,5960.636576,2614.639182,2019-12-01
2-9A (FE-POC94),1,no, 2-9A (FE-POC94)_closed_200K,Mesh,1694.422178,319.0932736,9.294428222,-5.060208043,14.35463627,1066.778871,5956.597149,2611.309819,2019-12-01
2-9B (FE-POC95),1,no, 2-9B (FE-POC95)_open_200K,Mesh,1582.049608,268.9406715,9.96624768,-6.445156352,16.41140403,0.0,6487.763639,2674.006726,2019-12-01
2-9B (FE-POC95),1,no, 2-9B (FE-POC95)_closed_200K,Mesh,1708.305525,268.940101,9.96624768,-6.445156352,16.41140403,1176.101449,6485.915889,2672.979437,2019-12-01
2-9C (FE-POC96),1,no, 2-9C (FE-POC96)_open_200K,Mesh,1657.973185,320.5970967,9.579581978,-5.882254913,15.46183689,0.0,6578.117966,3216.175322,2019-12-01
2-9C (FE-POC96),1,no, 2-9C (FE-POC96)_closed_200K,Mesh,1800.197539,320.6119806,9.579581978,-5.879672895,15.45925487,1535.030272,6575.232726,3212.560247,2019-12-01
3-1 (FE-POC97),1,no, 3-1 (FE-POC97)_open_200K,Mesh,1500.948933,326.2439386,10.60025979,-5.640913886,16.24117368,0.0,8083.458107,3056.346675,2019-12-01
3-1 (FE-POC97),1,no, 3-1 (FE-POC97)_closed_200K,Mesh,1617.390602,326.2533233,10.60025979,-5.640913886,16.24117368,1190.587984,8082.213065,3053.988632,2019-12-01
3-2 (FE-POC98),1,no, 3-2 (FE-POC98)_open_200K,Mesh,1052.653025,237.5398173,5.872030055,-6.097742798,11.96977285,0.0,3634.970927,1714.499039,2019-12-01
3-2 (FE-POC98),1,no, 3-2 (FE-POC98)_closed_200K,Mesh,1143.785369,237.5421268,5.872030055,-6.097742798,11.96977285,665.312264,3635.344544,1714.296738,2019-12-01
3-3 (FE-POC99),1,no, 3-3 (FE-POC99)_open_200K,Mesh,1710.755837,340.0038004,10.4829704,-5.595523771,16.07849417,0.0,6799.599816,3296.479606,2019-12-01
3-3 (FE-POC99),1,no, 3-3 (FE-POC99)_closed_200K,Mesh,1820.969456,340.0089487,10.48307405,-5.587883142,16.07095719,1700.42742,6796.412424,3295.421054,2019-12-01
3-4 (FE-POC100),1,no, 3-4 (FE-POC100)_open_200K,Mesh,1401.966393,341.6985476,11.57715496,-4.768362831,16.34551779,0.0,7113.984288,2922.906056,2019-12-01
3-4 (FE-POC100),1,no, 3-4 (FE-POC100)_closed_200K,Mesh,1465.398234,341.6916099,11.57715496,-4.75690141,16.33405637,850.8472047,7108.995987,2920.086742,2019-12-01
3-5A (FE-POC101),1,no, 3-5A (FE-POC101)_open_200K,Mesh,1509.264757,294.7440309,13.06414643,-4.704740493,17.76888692,0.0,7748.566797,3248.486004,2019-12-01
3-5A (FE-POC101),1,no, 3-5A (FE-POC101)_closed_200K,Mesh,1622.023931,294.7331859,13.06414643,-4.704740493,17.76888692,1095.789775,7748.865986,3239.483765,2019-12-01
3-5B (FE-POC102),1,no, 3-5B (FE-POC102)_open_200K,Mesh,1671.31625,336.0101567,13.2367469,-5.261522758,18.49826966,0.0,8457.148852,3799.792766,2019-12-01
3-5B (FE-POC102),1,no, 3-5B (FE-POC102)_closed_200K,Mesh,1818.120004,336.0124555,13.2367469,-5.261522758,18.49826966,1262.185253,8457.148852,3798.17801,2019-12-01
3-5C (FE-POC103),1,no, 3-5C (FE-POC103)_open_200K,Mesh,1717.85086,286.2192771,14.54399739,-5.631256668,20.17525406,0.0,7466.268663,3465.525503,2019-12-01
3-5C (FE-POC103),1,no, 3-5C (FE-POC103)_closed_200K,Mesh,1825.776133,286.2228729,14.54399739,-5.631256668,20.17525406,1398.930857,7467.319154,3463.929394,2019-12-01
3-5D (FE-POC104),1,no, 3-5D (FE-POC104)_open_200K,Mesh,1449.909721,318.3615306,8.812238653,-6.555560305,15.36779896,0.0,7016.6675,2954.948778,2019-12-01
3-5D (FE-POC104),1,no, 3-5D (FE-POC104)_closed_200K,Mesh,1518.927049,318.354569,8.812238653,-6.513544951,15.3257836,1154.949708,6997.484027,2952.034069,2019-12-01
3-5E (FE-POC105),1,no, 3-5E (FE-POC105)_open_200K,Mesh,1756.701285,277.1340803,11.03363705,-7.044943042,18.07858009,0.0,6478.584414,3259.715403,2019-12-01
3-5E (FE-POC105),1,no, 3-5E (FE-POC105)_closed_200K,Mesh,1899.016322,277.144197,11.03363705,-7.044943042,18.07858009,1225.284912,6476.835877,3257.401043,2019-12-01
3-5F (FE-POC106),1,no, 3-5F (FE-POC106)_open_200K,Mesh,1283.13759,259.9520299,7.01044943,-6.13983175,13.15028118,0.0,4911.163158,2182.408908,2019-12-01
3-5F (FE-POC106),1,no, 3-5F (FE-POC106)_closed_200K,Mesh,1402.220294,259.9050703,7.01044943,-6.121962553,13.13241198,1047.603326,4903.080112,2179.954369,2019-12-01
3-6 (FE-POC107),1,no, 3-6 (FE-POC107)_open_200K,Mesh,1005.447846,219.5569292,7.324007818,-5.459012642,12.78302046,0.0,4002.719274,1636.335389,2019-12-01
3-6 (FE-POC107),1,no, 3-6 (FE-POC107)_closed_200K,Mesh,1094.973204,219.5041193,7.324007818,-5.459012642,12.78302046,724.9498581,4002.719274,1636.208469,2019-12-01
3-7 (FE-POC108),1,no, 3-7 (FE-POC108)_open_200K,Mesh,1536.88274,320.2258997,7.933763002,-7.924150584,15.85791359,0.0,6999.955106,2916.653239,2019-12-01
3-7 (FE-POC108),1,no, 3-7 (FE-POC108)_closed_200K,Mesh,1631.451281,320.2330372,7.933763002,-7.924150584,15.85791359,929.8246709,7000.459385,2915.521392,2019-12-01
3-8A (FE-POC109),1,no, 3-8A (FE-POC109)_open_200K,Mesh,1846.718396,356.7151772,10.68890333,-5.395424228,16.08432756,0.0,8068.066749,3632.156726,2019-12-01
3-8A (FE-POC109),1,no, 3-8A (FE-POC109)_closed_200K,Mesh,1966.090299,356.6865694,10.68890333,-5.395424232,16.08432756,1096.575743,8068.066565,3630.120071,2019-12-01
3-8B (FE-POC110),1,no, 3-8B (FE-POC110)_open_200K,Mesh,1263.133025,249.8936139,7.252670725,-7.2875254,14.54019612,0.0,4950.923994,2205.980409,2019-12-01
3-8B (FE-POC110),1,no, 3-8B (FE-POC110)_closed_200K,Mesh,1383.570221,249.9103274,7.252670725,-7.2875254,14.54019612,788.4831865,4950.923994,2202.823509,2019-12-01
3-8C (FE-POC111),1,no, 3-8C (FE-POC111)_open_200K,Mesh,1663.10724,293.1639917,9.363360292,-6.432654102,15.79601439,0.0,6586.702065,3056.293458,2019-12-01
3-8C (FE-POC111),1,no, 3-8C (FE-POC111)_closed_200K,Mesh,1777.505292,293.0902617,9.363360292,-6.423350267,15.78671056,1116.412747,6581.818458,3053.773166,2019-12-01
3-9A (FE-POC112)_issues_with_model,1,yes, 3-9A (FE-POC112)_open_200K,Mesh,1908.535202,281.0362569,12.68239049,-5.817277581,18.49966807,0.0,7165.265239,3338.946726,2019-12-01
3-9A (FE-POC112)_issues_with_model,1,yes, 3-9A (FE-POC112)_closed_200K,Mesh,2059.759597,280.9802883,12.68239049,-5.782982621,18.46537311,904.0652838,7152.74648,3335.381578,2019-12-01
3-9B (FE-POC113),2,no, 3-9B (FE-POC113)_open_200K,Mesh,1320.982883,230.4695641,10.53594216,-4.541673077,15.07761524,0.0,4649.045359,2231.086342,2019-12-01
3-9B (FE-POC113),2,no, 3-9B (FE-POC113)_closed_200K,Mesh,1405.240683,230.4421673,10.53594216,-4.536444178,15.07238634,836.2027487,4648.571156,2229.393577,2019-12-01
3-9C (FE-POC114),2,no, 3-9C (FE-POC114)_open_200K,Mesh,1010.385792,206.270931,6.198183423,-6.49288441,12.69106783,0.0,3492.600297,1535.420743,2019-12-01
3-9C (FE-POC114),2,no, 3-9C (FE-POC114)_closed_200K,Mesh,1068.175916,206.2700583,6.198183423,-6.460037568,12.65822099,621.6237065,3483.560799,1534.660283,2019-12-01
1-1A (FE-POC61),,, 1-1A (FE-POC61)_open_200K,Mesh,3073.101078,591.0815374,13.22866482,-6.918924236,20.14758906,0.0,15775.84949,7879.929653,2021-05-01
1-1A (FE-POC61),,, 1-1A (FE-POC61)_closed_200K,Mesh,3247.988281,591.0488753,13.22866482,-6.918924236,20.14758906,3936.622284,15772.95944,7731.819391,2021-05-01
1-2A (FE-POC62),,, 1-2A (FE-POC62)_open_200K,Mesh,2711.448108,538.6632211,13.8919314,-6.67788403,20.56981543,0.0,14560.24047,6849.528877,2021-05-01
1-2A (FE-POC62),,, 1-2A (FE-POC62)_closed_200K,Mesh,2821.259417,538.6555122,13.8919314,-6.67788403,20.56981543,4043.6832,14560.24047,6846.713096,2021-05-01
1-2B (FE-POC63),,, 1-2B (FE-POC63)_open_200K,Mesh,1764.290758,367.9479345,10.83206877,-8.484223273,19.31629204,0.0,9881.564823,4042.344239,2021-05-01
1-2B (FE-POC63),,, 1-2B (FE-POC63)_closed_200K,Mesh,1925.485325,367.9599659,10.83206877,-8.484223273,19.31629204,1711.555929,9881.311864,4041.676241,2021-05-01
1-2C (FE-POC64),,, 1-2C (FE-POC64)_open_200K,Mesh,2154.124906,486.5769723,16.99112686,-2.482749818,19.47387667,0.0,12358.01912,5287.235631,2021-05-01
1-2C (FE-POC64),,, 1-2C (FE-POC64)_closed_200K,Mesh,2294.501078,486.5943009,16.98947148,-2.482749818,19.4722213,2454.843173,12356.96863,5283.893639,2021-05-01
1-2D (FE-POC65),,, 1-2D (FE-POC65)_open_200K,Mesh,2006.912689,357.7932899,11.47214479,-7.137039084,18.60918387,0.0,8843.345005,4316.334937,2021-05-01
